Date,Open,High,Low,Close,Volume
2020-03-23,4338.42,4499.1,4190.38,4425.08,3883.0936159431
2020-03-24,4522.57,4960.39,4432.3,4874.63,4886.4935640848
2020-03-25,4933.31,5231.21,4639.93,4698.6,4867.238554419
2020-03-26,4527.08,4973.94,4527.08,4892.69,2559.8465627966
2020-03-27,5010.03,5010.03,4698.6,4712.14,3152.4729714006
2020-03-30,4806.93,4811.45,4423.28,4689.57,2828.3469753591
2020-03-31,4721.17,4824.98,4630.9,4721.17,4440.419173493
2020-04-01,4626.39,4689.57,4466.61,4466.61,4097.0381677856
2020-04-02,4423.28,4423.28,4184.97,4278.85,6484.659366349
2020-04-03,4242.73,4421.47,4114.56,4320.37,5282.2909849936
2020-04-06,4477.44,4662.49,4408.83,4648.96,2851.8808760618
2020-04-07,4739.23,5082.26,4703.12,4906.23,5625.671990701
2020-04-08,4806.93,4978.44,4793.39,4919.77,4425.443054864
2020-04-09,4847.54,5086.77,4788.88,5086.77,4056.3887029356
2020-04-14,5235.71,5335.01,4973.94,5199.61,4788.0790702372
2020-04-15,5231.21,5271.83,4973.94,5100.31,4018.9484063631
2020-04-16,5190.58,5208.63,4883.66,4946.86,3886.3027842207
2020-04-17,5037.12,5195.09,4973.94,5145.44,2990.9448347594
2020-04-20,5307.93,5307.93,5037.12,5195.09,2014.287955598
2020-04-21,5149.96,5190.58,4964.9,5005.52,1951.1743128044
2020-04-22,5005.52,5122.88,4874.63,5082.26,1747.926988554
2020-04-23,5136.42,5267.31,5037.12,5262.79,2168.3280329247
2020-04-24,5262.79,5483.96,5199.61,5344.04,2901.0881229856
2020-04-27,5452.37,5560.69,5199.61,5307.93,3303.3038804496
2020-04-28,5321.47,5502.02,5195.09,5447.85,2895.7395091895
2020-04-29,5492.98,6291.88,5443.33,6129.4,11236.367862773
2020-04-30,6273.83,6535.62,5736.72,5867.62,7846.4164388271
2020-05-04,5777.34,5777.34,5452.37,5483.96,4793.4276840333
2020-05-05,5461.4,5614.86,5289.88,5596.8,2783.4186194721
2020-05-06,5560.69,5669.01,5456.88,5506.53,2859.3689353762
2020-05-07,5511.04,5754.77,5461.4,5619.36,2425.0614951358
2020-05-08,5641.94,5813.45,5641.94,5736.72,1931.9193031386
2020-05-11,5786.37,5804.42,5560.69,5641.94,3442.3678391473
2020-05-12,5583.26,5714.15,5506.53,5655.47,3905.5577938865
2020-05-13,5569.72,5759.29,5569.72,5682.56,4098.1078905449
2020-05-14,5574.23,5655.47,5335.01,5438.82,3580.3620750858
2020-05-15,5425.28,5551.66,5362.09,5371.12,2183.3041515537
2020-05-18,5357.58,5456.88,5285.36,5411.74,5844.9651563396
2020-05-19,5497.5,5700.6,5371.12,5646.44,4104.5262271001
2020-05-20,5646.44,5705.13,5560.69,5682.56,2044.240192856
2020-05-21,5610.34,5687.07,5583.26,5583.26,1054.746640584
2020-05-22,5529.1,5641.94,5407.24,5614.86,2312.7406054184
2020-05-25,5601.31,5646.44,5560.69,5628.39,1554.3071691364
2020-05-26,5646.44,5926.28,5614.86,5876.63,2651.8427200889
2020-05-27,5840.53,6151.97,5840.53,5998.5,3562.1767881792
2020-05-28,6079.76,6255.78,5993.99,6133.91,5105.7867297235
2020-05-29,6057.18,6269.32,6057.18,6192.59,8500.0170447062
2020-06-01,6179.05,6341.53,6156.48,6188.07,1666.6280588538
2020-06-02,6188.07,6332.51,6188.07,6300.91,2677.51606631
2020-06-03,6337.02,6540.14,6309.95,6364.1,4136.6179098765
2020-06-04,6328,6616.86,6323.48,6589.78,4716.40764537
2020-06-05,6675.54,6991.48,6621.37,6950.87,4130.1995733212
2020-06-08,6950.87,7190.08,6783.86,7086.26,5647.0664458852
2020-06-09,7131.4,7131.4,6774.83,6896.7,4299.2157692769
2020-06-10,6941.83,6950.87,6752.26,6914.75,3000.5723395924
2020-06-12,6725.18,6828.99,6508.53,6580.76,4865.0991089006
2020-06-15,6449.86,6504.02,5989.48,6237.72,3684.1251827294
2020-06-16,6251.26,6508.53,6246.75,6332.51,3208.0985548797
